pH,xtc_file,time_ns,rmsd_nm
7.00,pH_7.00pH_7.00_8.xtc,0.0,0.228444
7.00,pH_7.00pH_7.00_8.xtc,100.0,0.1852387
7.00,pH_7.00pH_7.00_8.xtc,200.0,0.205535
7.00,pH_7.00pH_7.00_8.xtc,300.0,0.2425225
7.00,pH_7.00pH_7.00_8.xtc,400.0,0.4125457
7.00,pH_7.00pH_7.00_8.xtc,500.0,0.379308
7.00,pH_7.00pH_7.00_8.xtc,600.0,0.3440576
7.00,pH_7.00pH_7.00_8.xtc,700.0,0.3555
7.00,pH_7.00pH_7.00_8.xtc,800.0,0.3025285
7.00,pH_7.00pH_7.00_8.xtc,900.0,0.2590454
7.00,pH_7.00pH_7.00_8.xtc,1000.0,0.2883932
7.00,pH_7.00pH_7.00_9.xtc,0.0,0.2883932
7.00,pH_7.00pH_7.00_9.xtc,100.0,0.3520782
7.00,pH_7.00pH_7.00_9.xtc,200.0,0.324105
7.00,pH_7.00pH_7.00_9.xtc,300.0,0.2703629
7.00,pH_7.00pH_7.00_9.xtc,400.0,0.2111105
7.00,pH_7.00pH_7.00_9.xtc,500.0,0.2357511
7.00,pH_7.00pH_7.00_9.xtc,600.0,0.2785934
7.00,pH_7.00pH_7.00_9.xtc,700.0,0.2017409
7.00,pH_7.00pH_7.00_9.xtc,800.0,0.193653
7.00,pH_7.00pH_7.00_9.xtc,900.0,0.2219983
7.00,pH_7.00pH_7.00_9.xtc,1000.0,0.2048789
7.00,pH_7.00pH_7.00_10.xtc,0.0,0.2048789
7.00,pH_7.00pH_7.00_10.xtc,100.0,0.230086
7.00,pH_7.00pH_7.00_10.xtc,200.0,0.2857667
7.00,pH_7.00pH_7.00_10.xtc,300.0,0.3096784
7.00,pH_7.00pH_7.00_10.xtc,400.0,0.261399
7.00,pH_7.00pH_7.00_10.xtc,500.0,0.2027106
7.00,pH_7.00pH_7.00_10.xtc,600.0,0.2063292
7.00,pH_7.00pH_7.00_10.xtc,700.0,0.2170875
7.00,pH_7.00pH_7.00_10.xtc,800.0,0.2286788
7.00,pH_7.00pH_7.00_10.xtc,900.0,0.1805086
7.00,pH_7.00pH_7.00_10.xtc,1000.0,0.1991571
7.00,pH_7.00pH_7.00_11.xtc,0.0,0.1991571
7.00,pH_7.00pH_7.00_11.xtc,100.0,0.186605
7.00,pH_7.00pH_7.00_11.xtc,200.0,0.2010002
7.00,pH_7.00pH_7.00_11.xtc,300.0,0.1788844
7.00,pH_7.00pH_7.00_11.xtc,400.0,0.2506832
7.00,pH_7.00pH_7.00_11.xtc,500.0,0.2502006
7.00,pH_7.00pH_7.00_11.xtc,600.0,0.284245
7.00,pH_7.00pH_7.00_11.xtc,700.0,0.2718431
7.00,pH_7.00pH_7.00_11.xtc,800.0,0.2102211
7.00,pH_7.00pH_7.00_11.xtc,900.0,0.2427171
7.00,pH_7.00pH_7.00_11.xtc,1000.0,0.3213221
7.00,pH_7.00pH_7.00_12.xtc,0.0,0.3213221
7.00,pH_7.00pH_7.00_12.xtc,100.0,0.2477089
7.00,pH_7.00pH_7.00_12.xtc,200.0,0.2658932
7.00,pH_7.00pH_7.00_12.xtc,300.0,0.2479897
7.00,pH_7.00pH_7.00_12.xtc,400.0,0.1837197
7.00,pH_7.00pH_7.00_12.xtc,500.0,0.2683738
7.00,pH_7.00pH_7.00_12.xtc,600.0,0.2375585
7.00,pH_7.00pH_7.00_12.xtc,700.0,0.2751515
7.00,pH_7.00pH_7.00_12.xtc,800.0,0.1951396
7.00,pH_7.00pH_7.00_12.xtc,900.0,0.2372794
7.00,pH_7.00pH_7.00_12.xtc,1000.0,0.1907679
7.00,pH_7.00pH_7.00_13.xtc,0.0,0.1907679
7.00,pH_7.00pH_7.00_13.xtc,100.0,0.209531
7.00,pH_7.00pH_7.00_13.xtc,200.0,0.184096
7.00,pH_7.00pH_7.00_13.xtc,300.0,0.2285625
7.00,pH_7.00pH_7.00_13.xtc,400.0,0.2152884
7.00,pH_7.00pH_7.00_13.xtc,500.0,0.1937492
7.00,pH_7.00pH_7.00_13.xtc,600.0,0.2319112
7.00,pH_7.00pH_7.00_13.xtc,700.0,0.2093887
7.00,pH_7.00pH_7.00_13.xtc,800.0,0.2080459
7.00,pH_7.00pH_7.00_13.xtc,900.0,0.2441371
7.00,pH_7.00pH_7.00_13.xtc,1000.0,0.2670377
7.00,pH_7.00pH_7.00_14.xtc,0.0,0.2670377
7.00,pH_7.00pH_7.00_14.xtc,100.0,0.221327
7.00,pH_7.00pH_7.00_14.xtc,200.0,0.190889
7.00,pH_7.00pH_7.00_14.xtc,300.0,0.1995571
7.00,pH_7.00pH_7.00_14.xtc,400.0,0.2291387
7.00,pH_7.00pH_7.00_14.xtc,500.0,0.2391611
7.00,pH_7.00pH_7.00_14.xtc,600.0,0.2477568
7.00,pH_7.00pH_7.00_14.xtc,700.0,0.2994822
7.00,pH_7.00pH_7.00_14.xtc,800.0,0.3724441
7.00,pH_7.00pH_7.00_14.xtc,900.0,0.291464
7.00,pH_7.00pH_7.00_14.xtc,1000.0,0.2349219
7.00,pH_7.00pH_7.00_15.xtc,0.0,0.2349219
7.00,pH_7.00pH_7.00_15.xtc,100.0,0.282048
7.00,pH_7.00pH_7.00_15.xtc,200.0,0.2629515
7.00,pH_7.00pH_7.00_15.xtc,300.0,0.2828588
7.00,pH_7.00pH_7.00_15.xtc,400.0,0.3030627
7.00,pH_7.00pH_7.00_15.xtc,500.0,0.2559602
7.00,pH_7.00pH_7.00_15.xtc,600.0,0.2886811
7.00,pH_7.00pH_7.00_15.xtc,700.0,0.2221032
7.00,pH_7.00pH_7.00_15.xtc,800.0,0.2120013
7.00,pH_7.00pH_7.00_15.xtc,900.0,0.2189449
7.00,pH_7.00pH_7.00_15.xtc,1000.0,0.1998721
7.00,pH_7.00pH_7.00_16.xtc,0.0,0.1998721
7.00,pH_7.00pH_7.00_16.xtc,100.0,0.2515725
7.00,pH_7.00pH_7.00_16.xtc,200.0,0.2124521
7.00,pH_7.00pH_7.00_16.xtc,300.0,0.2408645
7.00,pH_7.00pH_7.00_16.xtc,400.0,0.2823647
7.00,pH_7.00pH_7.00_16.xtc,500.0,0.2929318
7.00,pH_7.00pH_7.00_16.xtc,600.0,0.2247287
7.00,pH_7.00pH_7.00_16.xtc,700.0,0.2241535
7.00,pH_7.00pH_7.00_16.xtc,800.0,0.2389345
7.00,pH_7.00pH_7.00_16.xtc,900.0,0.2468086
7.00,pH_7.00pH_7.00_16.xtc,1000.0,0.2215259
7.00,pH_7.00pH_7.00_17.xtc,0.0,0.2215259
7.00,pH_7.00pH_7.00_17.xtc,100.0,0.2196064
7.00,pH_7.00pH_7.00_17.xtc,200.0,0.2388683
7.00,pH_7.00pH_7.00_17.xtc,300.0,0.195211
7.00,pH_7.00pH_7.00_17.xtc,400.0,0.2713038
7.00,pH_7.00pH_7.00_17.xtc,500.0,0.2167513
7.00,pH_7.00pH_7.00_17.xtc,600.0,0.2414953
7.00,pH_7.00pH_7.00_17.xtc,700.0,0.298399
7.00,pH_7.00pH_7.00_17.xtc,800.0,0.2541871
7.00,pH_7.00pH_7.00_17.xtc,900.0,0.2763604
7.00,pH_7.00pH_7.00_17.xtc,1000.0,0.3259287
7.00,pH_7.00pH_7.00_18.xtc,0.0,0.3259287
7.00,pH_7.00pH_7.00_18.xtc,100.0,0.288559
7.00,pH_7.00pH_7.00_18.xtc,200.0,0.2821426
7.00,pH_7.00pH_7.00_18.xtc,300.0,0.286443
7.00,pH_7.00pH_7.00_18.xtc,400.0,0.2535183
7.00,pH_7.00pH_7.00_18.xtc,500.0,0.2344305
7.00,pH_7.00pH_7.00_18.xtc,600.0,0.2286518
7.00,pH_7.00pH_7.00_18.xtc,700.0,0.2061922
7.00,pH_7.00pH_7.00_18.xtc,800.0,0.2356982
7.00,pH_7.00pH_7.00_18.xtc,900.0,0.2691224
7.00,pH_7.00pH_7.00_18.xtc,1000.0,0.2797249
7.00,pH_7.00pH_7.00_19.xtc,0.0,0.2797249
7.00,pH_7.00pH_7.00_19.xtc,100.0,0.3057118
7.00,pH_7.00pH_7.00_19.xtc,200.0,0.2661567
